/* DATA DESCRIPTION:
Citation: Huang, J.-J., Löwemark, L., Chang, Q., Lin, T.-Y., Chen, H.-F., Song, S.-R., and Wei, K.-Y., 2016, Choosing optimal exposure times for XRF core-scanning: Suggestions based on the analysis of geological reference materials: Geochemistry, Geophysics, Geosystems, v. 17, no. 4, p. 1558-1566.
Sample: Geological reference standards (JLK-1, JSD-1, JSD-2, JSD-3, JMS-1, JMS-2)
Machine: Itrax-XRF core scanner, CS-16 National Taiwan University
Comment: Six geological reference materials from the Geological Survey of Japan (JLK-1, JMS-1, JMS-2, JSD-1, JSD-2, and JSD-3) were scanned by the Itrax-XRF core scanner using the Mo- and the Cr-tube with different exposure times. 
Original dataset can be downloaded at https://doi.pangaea.de/10.1594/PANGAEA.858766
*/
Sample_tube_machine.setting	Al	Si	S	K	Ca	Ti	Cr	Mn	Fe	Ni	Cu	Zn	Rb	Sr	Zr	Ba	Pb
JLK-1_Mo-tube_1s	5.28	76.34	1.18	320.86	108.44	272.22	19.18	417.62	13104.42	42.62	41.2	83.34	135.96	75.64	59.22	13.58	73.92
JLK-1_Mo-tube_5s	26.96	400.66	13.28	1652.92	600.56	1344.24	107.66	2044.94	65936.52	243.44	198.7	399.56	667.78	365.06	275.54	65.82	320.28
JLK-1_Mo-tube_15s	88.94	1204.24	25.54	4974.82	1782.82	3950.82	354.24	6255	196140.24	615.62	544.46	1237.44	2163.94	1077.56	786.24	309.82	995.64
JLK-1_Mo-tube_30s	183.18	2420.66	49.14	9968.78	3597.38	8142.68	653.16	12437.38	395246.48	1406.38	1111.08	2418.92	3689.34	2152.42	1585.22	380.38	1949.18
JLK-1_Mo-tube_100s	592.8	8048.4	148.14	33249.26	11981.92	27171.98	2111.68	40561.4	1317527.42	4979.2	3964.06	8071.42	13115.96	7336.36	5738.04	1305.14	6523.26
JLK-1_Cr-tube_1s	58.44	792.9	14.98	3036.86	1043.44	2304.46	na	256.64	5397.3	21.9	13.48	30.04	59.3	26.46	32.34	62.64	28.22
JLK-1_Cr-tube_5s	313.12	4003.82	83.28	15277.08	5203.22	11457.46	na	1346.4	27103.5	103.92	57.8	138.52	291.46	127.96	158.1	337.96	137.56
JLK-1_Cr-tube_15s	950.98	12129.22	229.48	46000.96	15880.28	34832.8	na	3851.6	81566.02	320.48	172.2	436.52	846.28	393	486.24	795.82	397.34
JLK-1_Cr-tube_30s	1873.04	24216.56	475.78	92024.08	31600.18	69523.66	na	7915.6	163343.76	643.02	358.76	849.86	1685.36	775.1	978.36	1633.66	780.54
JLK-1_Cr-tube_100s	6350.04	80440.4	1492.24	304851.86	105393	231792.5	na	24743.08	544327.78	2240.16	1267.04	2828.62	5694.9	2682.62	3291.18	4661.58	2668.74
JSD-1_Mo-tube_1s	4.86	95.48	0.5	270.72	530.48	254.04	10.84	151.1	9583.48	37.24	19.2	71.22	78.22	398.1	48.72	10.42	55.78
JSD-1_Mo-tube_5s	31.64	485.74	3.5	1374.88	2724.36	1272.88	60.36	730.66	48194	208.72	112.8	316.22	322.48	1984.38	273.2	60.94	278.92
JSD-1_Mo-tube_15s	93.48	1474.8	5.04	4130.1	8123.74	3756.7	210.18	2253.42	143348.56	523.28	288.24	963.08	1129.28	5851	784.9	277.7	836.86
JSD-1_Mo-tube_30s	180.4	2966.42	9.52	8239.18	16377.2	7613.92	386.78	4425.48	289173.4	1223.24	598.22	1863.64	1985.58	11726.04	1491.6	412.02	1670.4
JSD-1_Mo-tube_100s	591.18	9882.48	9.48	27571.54	54571.26	25530.5	1204.04	14179.84	964405.14	4300.32	2251.6	6362.84	6843.3	39455.92	5449	1287.7	5673.48
JSD-1_Cr-tube_1s	51.38	945.34	2.4	2466.7	4633.52	2095.82	na	150.68	3769.68	19.32	4.38	21.06	30.16	122.14	29.6	46.16	25.18
JSD-1_Cr-tube_5s	283.16	4737.9	9.94	12390.14	23278.64	10497.02	na	872.98	18923.98	98.48	11.28	105.46	150	590.8	161.48	285.48	105.54
